fund_name,general_partner,vintage_year,asset_class,sub_strategy,pension_fund_count,pension_funds,total_commitment_mm,avg_net_irr,avg_net_multiple
Brentwood Associates IV,Brentwood Associates,1983,Private Equity,,1,WSIB,15.00,0.1094,2.2000
Bridgepoint Credit Opportunities II,Bridgepoint,2013,Private Credit,Credit,1,NY Common,216.13,,1.3269
Bridgepoint Development Capital IV,Bridgepoint,2020,Private Equity,Buyout,1,NY Common,383.32,,1.0823
Bridgepoint Development Capital V,Bridgepoint,2024,Private Equity,Buyout,1,NY Common,216.39,,
Bridgepoint Europe III 'C',Bridgepoint,2015,Private Equity,Buyout,1,CalPERS,25.89,0.0410,1.1879
Bridgepoint Europe III 'D',Bridgepoint,2005,Private Equity,Buyout,3,"CalPERS,WSIB,NY Common",545.60,0.0239,1.2128
Bridgepoint Europe IV 'B',Bridgepoint,2015,Private Equity,Buyout,1,CalPERS,82.86,0.1190,1.3890
Bridgepoint Europe IV 'D',Bridgepoint,2008,Private Equity,Buyout,3,"CalPERS,WSIB,NY Common",795.88,0.0930,1.5637
"Bridgepoint Europe IV, L.P. (Secondary Purchase)",Bridgepoint,2016,Private Equity,Secondaries,1,WSIB,33.35,0.0861,1.3000
Bridgepoint Europe V,Bridgepoint,2016,Private Equity,Buyout,2,"WSIB,NY Common",582.27,0.1609,1.8924
Bridgepoint Europe VI,Bridgepoint,2019,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",1211.06,0.1435,1.6024
Bridgepoint Europe VI (Sidecar),Bridgepoint,2019,Private Equity,Buyout,1,Oregon,69.30,0.1540,1.9400
Bridgepoint Europe VII,Bridgepoint,2022,Private Equity,Buyout,1,NY Common,486.28,,0.9824
Bridgepoint Europe VII D,Bridgepoint,2024,Private Equity,Buyout,2,"CalPERS,WSIB",294.63,0.2748,1.1378
Brookfield Capital Partners IV,Brookfield,2015,Private Equity,,1,NY Common,800.00,,2.4080
Brookfield Capital Partners V,Brookfield,2018,Private Equity,,1,NY Common,800.00,,1.5578
Butterfly II,Butterfly,2022,Private Equity,Buyout,1,CalPERS,125.00,0.1381,1.2721
CA Co-Investment Limited Partnership,CA,2022,Private Equity,Co-Investment,1,CalPERS,1950.00,0.1391,1.3248
CA1 SPV,CA1 SPV,2023,Private Equity,,1,CalPERS,1200.00,,1.1886
CCMP Capital Investors III,CCMP Capital,2014,Private Equity,Buyout,1,NY Common,300.00,,1.6372
CDH Fund IV,CDH,2010,Private Equity,,1,WSIB,25.00,0.0707,1.4000
CDH Fund V,CDH,2014,Private Equity,,2,"CalPERS,Oregon",300.00,0.0800,1.4604
CF24XB SCSp,CF24XB,2025,Private Equity,,1,CalPERS,30.91,,1.0000
CHS Private Equity V,CHS,2005,Private Equity,,1,WSIB,125.00,0.0986,1.7000
CV Consortio Fund,CV Consortio,2023,Private Equity,,1,CalPERS,750.00,,1.9026
CVC Capital Partners Asia Pacific Fund IV,CVC Capital Partners,2013,Private Equity,Buyout,1,NY Common,300.00,,1.6972
CVC Capital Partners Asia Pacific Fund V,CVC Capital Partners,2019,Private Equity,Buyout,1,NY Common,500.00,,1.3285
CVC Capital Partners Asia Pacific II,CVC Capital Partners,2005,Private Equity,Buyout,1,Oregon,100.00,-0.0500,0.7900
CVC Capital Partners Asia Pacific III,CVC Capital Partners,2008,Private Equity,Buyout,3,"CalSTRS,Oregon,NY Common",500.00,0.1269,1.6031
CVC Capital Partners Asia Pacific IV,CVC Capital Partners,2014,Private Equity,Buyout,1,CalSTRS,125.00,0.1325,1.7273
CVC Capital Partners Asia V,CVC Capital Partners,2020,Private Equity,Buyout,3,"CalPERS,CalSTRS,Oregon",450.00,0.1262,1.3744
CVC Capital Partners Asia VI (A),CVC Capital Partners,2024,Private Equity,Buyout,3,"CalPERS,CalSTRS,Oregon",575.00,0.1992,1.0877
CVC Capital Partners IX,CVC Capital Partners,2023,Private Equity,Buyout,2,"Oregon,NY Common",1101.15,,1.1139
CVC Capital Partners IX (A),CVC Capital Partners,2024,Private Equity,Buyout,2,"CalPERS,CalSTRS",881.08,0.1352,1.0717
CVC Capital Partners Strategic Opportunities Compounding Capital,CVC Capital Partners,2017,Private Equity,Opportunistic,1,CalPERS,1002.54,0.1160,1.8195
CVC Capital Partners Strategic Opportunities II,CVC Capital Partners,2020,Private Equity,Opportunistic,2,"CalSTRS,NY Common",667.02,0.1988,1.4396
CVC Capital Partners Strategic Opportunities II Co-Invest (A),CVC Capital Partners,2018,Private Equity,Co-Investment,1,NY Common,216.13,,1.3297
CVC Capital Partners VI,CVC Capital Partners,2014,Private Equity,Buyout,2,"CalPERS,Oregon",772.78,0.1550,1.9916
CVC Capital Partners VI (B),CVC Capital Partners,2013,Private Equity,Buyout,1,NY Common,540.31,,2.0291
CVC Capital Partners VII,CVC Capital Partners,2017,Private Equity,Buyout,2,"Oregon,NY Common",1001.54,0.2030,2.0066
CVC Capital Partners VII (A),CVC Capital Partners,2018,Private Equity,Buyout,2,"CalPERS,CalSTRS",745.33,0.2034,2.0530
CVC Capital Partners VIII (A),CVC Capital Partners,2021,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",2398.73,0.0863,1.1751
CVC Capital Strategic Opps III,CVC Capital Strategic Opps,2025,Private Equity,,1,CalSTRS,234.77,0.0000,
CVC European Equity Partners,CVC European,1996,Private Equity,,1,Oregon,50.00,0.2650,2.4300
CVC European Equity Partners II,CVC European,1998,Private Equity,,1,Oregon,150.00,0.1890,2.1000
CVC European Equity Partners III,CVC European,2001,Private Equity,,4,"CalPERS,CalSTRS,Oregon,NY Common",850.00,0.4086,2.5556
CVC European Equity Partners IV (D),CVC European,2005,Private Equity,,4,"CalPERS,CalSTRS,Oregon,NY Common",1100.02,0.1699,1.8701
CVC European Equity Partners Tandem Fund (B),CVC European Equity Partners Tandem,2006,Private Equity,,1,NY Common,67.46,,1.3100
CVC European Equity Partners V (B),CVC European,2008,Private Equity,,4,"CalPERS,CalSTRS,Oregon,NY Common",1558.35,0.1652,1.9838
CVC Growth Fund II,CVC,2019,Private Equity,Growth Equity,1,NY Common,400.00,,1.3884
CVC Growth Partners,CVC Growth,2015,Private Equity,Growth Equity,1,NY Common,250.00,,1.6902
CVC Growth Partners Co-Investment,CVC Growth,2015,Private Equity,Co-Investment,1,NY Common,62.50,,2.7145
CVC Growth Partners Co-Investment Fund II,CVC Growth Partners Co-Investment,2019,Private Equity,Co-Investment,1,NY Common,133.34,,1.8929
CVI Credit Value Fund A III,CVI Credit Value Fund A,2015,Private Credit,Credit,1,CalSTRS,100.00,0.0787,1.3515
Cable & Howse Partners II,Cable & Howse,1981,Private Equity,,1,WSIB,3.00,0.0046,1.0000
Cable & Howse Transition Fund,Cable & Howse Transition,1983,Private Equity,,1,WSIB,5.00,-0.0352,0.8000
Cadence Bancorp,Cadence Bancorp,2010,Private Equity,,1,Oregon,100.00,0.1000,1.9300
CalPERS Clean Energy & Technology Fund,CalPERS Clean Energy & Technology,2007,Private Equity,Energy,1,CalPERS,465.00,-0.1870,0.2947
CalPERS Corporate Partners,CalPERS Corporate,2001,Private Equity,,1,CalPERS,500.00,0.0930,1.5595
CalPERS Wellspring V,CalPERS Wellspring,2011,Private Equity,,1,CalPERS,24.97,0.2140,1.9902
CalSTRS California Impact Fund,CalSTRS California Impact,2003,Private Equity,,1,CalSTRS,75.00,-0.0093,0.9410
CalSTRS Lower Mid Market VII,CalSTRS Lower Mid Market,2023,Private Equity,,1,CalSTRS,250.00,-0.1204,0.8925
CalSTRS Lower Middle Market Fund III,CalSTRS Lower Middle Market,2007,Private Equity,,1,CalSTRS,200.00,0.0980,1.9772
CalSTRS Lower Middle Market Fund IV,CalSTRS Lower Middle Market,2011,Private Equity,,1,CalSTRS,200.00,0.1344,2.0266
CalSTRS Lower Middle Market Fund V,CalSTRS Lower Middle Market,2014,Private Equity,,1,CalSTRS,100.00,0.1763,2.3085
CalSTRS Lower Middle Market Fund VI,CalSTRS Lower Middle Market,2018,Private Equity,,1,CalSTRS,250.00,0.1641,1.7671
CalSTRS New Next Gen Manager VI,CalSTRS New Next Gen Manager,2024,Private Equity,,1,CalSTRS,85.00,-0.0291,0.9775
CalSTRS New&Next Gen Manager V,CalSTRS New&Next Gen Manager,2021,Private Equity,,1,CalSTRS,165.00,0.1319,1.2896
CalSTRS New&Next Gen. Manager Fund II,CalSTRS New&Next Gen. Manager,2008,Private Equity,,1,CalSTRS,200.00,0.0887,2.0739
CalSTRS New&Next Gen. Manager Fund III,CalSTRS New&Next Gen. Manager,2012,Private Equity,,1,CalSTRS,250.00,0.1143,2.1612
CalSTRS New&Next Generation Manager Fund,CalSTRS New&Next Generation Manager,2005,Private Equity,,1,CalSTRS,100.00,0.0841,1.8748
CalSTRS New&Next Generation Manager Fund IV,CalSTRS New&Next Generation Manager,2017,Private Equity,,1,CalSTRS,337.50,0.1593,1.9656
CalSTRS-M2 Private Equity Fund-of-Funds III,CalSTRS-M2 Private Equity Fund-of-Funds,2018,Private Equity,,1,CalSTRS,250.00,0.1092,1.3717
California Asia Investors,California Asia,2008,Private Equity,,1,CalPERS,150.00,0.2650,4.2301
California Community Venture Fund,California Community Venture,2003,Private Equity,Venture Capital,1,CalPERS,100.00,-0.0150,0.9132
California Emerging Ventures IV,California Emerging,2006,Private Equity,Venture Capital,1,CalPERS,463.11,0.1170,1.8642
California Partners,California,2020,Private Equity,,1,CalPERS,850.00,0.1540,1.3670
Canaan Gold Coast,Canaan Gold Coast,2023,Private Equity,,1,CalPERS,235.00,,1.0326
Canaan XIII,Canaan,2024,Private Equity,,1,CalPERS,205.00,,0.8985
Canaan XIII Healthcare Fund,Canaan Healthcare,2024,Private Equity,,1,CalPERS,37.08,,0.5904
Canterbury Mezzanine Capital,Canterbury Mezzanine,1996,Private Credit,Credit,1,Oregon,25.00,0.0730,1.2800
Canterbury Mezzanine Capital II,Canterbury Mezzanine,1999,Private Credit,Credit,1,Oregon,50.00,0.1150,1.4000
CapVest Equity Partners V SCSp,CapVest,2023,Private Equity,,1,CalPERS,323.73,,1.4655
Capital Alliance Private Equity IV,Capital Alliance,2015,Private Equity,,1,NY Common,170.00,,1.2299
Capital Co-Invest,Capital,2025,Private Equity,Co-Investment,1,CalPERS,100.00,,1.0018
Capital International Private Equity Fund VI,Capital International Private Equity,2011,Private Equity,,1,Oregon,100.00,-0.0100,0.9400
Capital Link Fund I,Capital Link,2007,Private Equity,,1,CalPERS,502.30,0.0760,1.4983
Capital Link Fund II,Capital Link,2008,Private Equity,,1,CalPERS,435.60,0.1190,1.6829
Capital Partners III,Capital,2014,Private Equity,,1,CalSTRS,75.00,0.0825,1.2552
Capital Partners IV,Capital,2017,Private Equity,,1,CalSTRS,150.00,0.0791,1.1958
Capital Partners V,Capital,2021,Private Equity,,1,CalSTRS,30.00,-0.0099,0.9655
Capital Resource Lenders II,Capital Resource Lenders,1993,Private Equity,,1,WSIB,25.00,0.0570,1.4000
Capital Resource Lenders III,Capital Resource Lenders,1996,Private Equity,,1,WSIB,30.00,0.0433,1.2000
Capital Resource Partners IV,Capital Resource,1999,Private Equity,,1,WSIB,70.00,0.0205,1.1000
"Capital Resource Partners IV, L.P. - Note","Capital Resource Partners , L.P. - Note",2021,Private Equity,,1,WSIB,0.13,,0.0000
Carlyle Asia Growth Partners III,Carlyle,2005,Private Equity,Growth Equity,1,CalPERS,75.00,-0.0140,0.9223
Carlyle Asia Partners III,Carlyle,2008,Private Equity,Buyout,1,CalPERS,150.00,0.1200,1.5725
Carlyle Asia Partners V,Carlyle,2018,Private Equity,Buyout,2,"CalPERS,CalSTRS",375.00,0.1241,1.2761
Carlyle Europe Partners II,Carlyle,2003,Private Equity,Buyout,2,"CalPERS,NY Common",262.35,0.1970,1.6166
Carlyle Europe Partners III,Carlyle,2007,Private Equity,Buyout,2,"CalPERS,CalSTRS",704.30,0.1109,1.6488
Carlyle Europe Partners IV,Carlyle,2015,Private Equity,Buyout,1,CalSTRS,176.08,0.1142,1.5804
"Carlyle Europe Partners V, S.C.Sp.",Carlyle,2019,Private Equity,Buyout,2,"CalPERS,CalSTRS",349.83,0.0105,1.0193
Carlyle Partners V,Carlyle,2007,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1600.00,0.1316,1.7754
Carlyle Partners VI,Carlyle,2013,Private Equity,Buyout,2,"CalPERS,CalSTRS",550.85,0.1463,1.9295
Carlyle Partners VII,Carlyle,2018,Private Equity,Buyout,3,"CalPERS,CalSTRS,WSIB",1400.00,0.0988,1.4200
Carlyle Partners VIII,Carlyle,2022,Private Equity,Buyout,2,"CalPERS,WSIB",477.21,0.1081,1.1923
Carlyle Strategic Partners IV,Carlyle,2016,Private Equity,Buyout,1,CalPERS,150.00,0.0450,1.1137
Carlyle U.S. Equity Opportunities II,Carlyle,2015,Private Equity,Opportunistic,2,"CalPERS,CalSTRS",350.00,0.1544,1.8706
Carlyle/Riverstone Global Energy and Power Fund III,Carlyle,2005,Private Equity,Energy,1,NY Common,700.00,,1.2921
Castle Harlan Partners II,Castle Harlan,1992,Private Equity,,1,Oregon,50.00,0.2710,1.6700
Castle Harlan Partners III,Castle Harlan,1997,Private Equity,,1,Oregon,100.00,0.0130,1.0500
Castle Harlan Partners IV,Castle Harlan,2002,Private Equity,,1,Oregon,100.00,0.1430,1.3800
Castle Harlan Partners V,Castle Harlan,2008,Private Equity,,1,Oregon,100.00,0.0620,1.1600
Castlelake II,Castlelake,2012,Private Equity,,1,CalSTRS,50.00,0.0576,1.4125
Castlelake III,Castlelake,2014,Private Equity,,1,CalSTRS,100.00,0.0599,1.4516
Castlelake IV,Castlelake,2015,Private Equity,,1,CalSTRS,150.00,0.0669,1.5064
Castlelake V,Castlelake,2018,Private Equity,,1,CalSTRS,200.00,0.0833,1.4588
Cedar Street Partners,Cedar Street,2021,Private Equity,,1,CalPERS,1000.00,0.3821,2.0934
Centerbridge Capital Partners,Centerbridge,2006,Private Equity,Distressed/Special Situations,2,"CalSTRS,Oregon",350.00,0.1914,2.0450
Centerbridge Capital Partners II,Centerbridge,2011,Private Equity,Distressed/Special Situations,3,"CalSTRS,Oregon,NY Common",625.00,-0.0723,0.7838
Centerbridge Capital Partners III,Centerbridge,2015,Private Equity,Distressed/Special Situations,4,"CalPERS,CalSTRS,Oregon,NY Common",935.00,0.1391,1.5774
Centerbridge Capital Partners IV,Centerbridge,2020,Private Equity,Distressed/Special Situations,1,Oregon,250.00,0.1590,1.4100
Centerbridge Capital Partners V,Centerbridge,2025,Private Equity,Distressed/Special Situations,2,"WSIB,Oregon",650.00,,1.0900
Centerbridge Capital Prtnrs IV,Centerbridge,2021,Private Equity,Distressed/Special Situations,1,CalSTRS,100.00,0.1596,1.3671
Centerbridge Special Credit III - Flex,Centerbridge,2020,Private Credit,Credit,2,"CalSTRS,Oregon",437.50,0.1442,1.4511
Centerbridge Special Credit Partners,Centerbridge,2009,Private Credit,Credit,1,CalSTRS,250.00,0.1376,1.9366
Centerbridge Special Credit Partners II,Centerbridge,2012,Private Credit,Credit,2,"CalSTRS,NY Common",395.60,0.0128,1.0547
Centerbridge Special Credit Partners III,Centerbridge,2016,Private Credit,Credit,2,"CalSTRS,Oregon",187.50,0.0972,1.3349
Centurium Capital Partners 2018,Centurium,2019,Private Equity,,1,WSIB,200.00,0.0792,1.5000
Cerberus CAL II Partners,Cerberus,2017,Private Equity,Buyout,1,CalPERS,500.00,0.2200,2.6327
Cerberus CAL III Partners,Cerberus,2019,Private Equity,Buyout,1,CalPERS,500.00,-0.0490,0.8393
Cerberus CP Partners,Cerberus,2013,Private Equity,Buyout,1,CalPERS,570.30,0.1700,2.3172
Cerberus Institutional (International) Series 1,Cerberus,2008,Private Equity,Buyout,1,CalSTRS,151.41,0.1041,1.7184
Cerberus Institutional (Series Four),Cerberus,2007,Private Equity,Buyout,1,CalSTRS,500.00,0.0915,1.8483
Cerberus Institutional Partners,Cerberus,2007,Private Equity,Buyout,1,NY Common,100.00,,1.8418
Cerberus Institutional Partners V,Cerberus,2012,Private Equity,Buyout,1,CalPERS,400.00,0.1390,1.9579
Cerberus Supply Chain Fund,Cerberus,2023,Private Equity,Buyout,1,CalPERS,200.00,,1.2726
Charterhouse Capital Partners IX,Charterhouse,2009,Private Equity,,1,WSIB,273.36,0.0940,1.3000
Charterhouse Capital Partners VI,Charterhouse,1997,Private Equity,,1,WSIB,47.03,0.1880,2.1000
Charterhouse Capital Partners VII,Charterhouse,2002,Private Equity,,1,WSIB,117.37,0.3792,1.9000
Charterhouse Capital Partners VIII,Charterhouse,2006,Private Equity,,1,WSIB,166.67,-0.0060,1.0000
Charterhouse Capital Partners X,Charterhouse,2016,Private Equity,,1,WSIB,253.57,0.1825,1.7000
Charterhouse Capital VIII,Charterhouse,2006,Private Equity,,1,CalSTRS,117.38,-0.0058,0.9639
China Privatization Fund (Del),China Privatization,2006,Private Equity,,1,CalPERS,100.00,0.1370,1.9247
Cinven Fifth Fund,Cinven,2012,Private Equity,Buyout,1,WSIB,228.67,0.1718,1.7000
Cinven Fourth Fund,Cinven,2007,Private Equity,Buyout,1,WSIB,167.61,0.0748,1.5000
Cinven Fund,Cinven,1996,Private Equity,Buyout,1,WSIB,41.19,0.1718,1.7000
Cinven Fund VIII,Cinven,2024,Private Equity,Buyout,1,CalSTRS,176.08,0.2027,1.1293
Cinven Second Fund,Cinven,1998,Private Equity,Buyout,1,WSIB,93.07,0.0936,1.6000
Cinven Seventh Fund,Cinven,2020,Private Equity,Buyout,1,WSIB,337.90,0.1106,1.3000
Cinven Sixth Fund,Cinven,2017,Private Equity,Buyout,1,WSIB,287.25,0.1742,2.0000
Cinven Third Fund,Cinven,2002,Private Equity,Buyout,1,WSIB,128.46,0.3190,2.1000
"Clayton, Dubilier & Rice Fund IX","Clayton, Dubilier & Rice",2014,Private Equity,,1,CalSTRS,200.00,0.1886,2.3573
"Clayton, Dubilier & Rice Fund V","Clayton, Dubilier & Rice",1995,Private Equity,,1,WSIB,40.00,0.0229,1.2000
"Clayton, Dubilier & Rice Fund VI","Clayton, Dubilier & Rice",1998,Private Equity,,1,WSIB,200.00,0.0953,1.5000
"Clayton, Dubilier & Rice Fund X","Clayton, Dubilier & Rice",2018,Private Equity,,2,"CalPERS,CalSTRS",400.00,0.3064,2.3060
"Clayton, Dubilier & Rice Fund XI","Clayton, Dubilier & Rice",2021,Private Equity,,2,"CalPERS,CalSTRS",492.27,0.0404,1.1109
"Clayton, Dubilier & Rice Fund XII","Clayton, Dubilier & Rice",2024,Private Equity,,2,"CalPERS,CalSTRS",850.00,0.3719,1.3220
ClearVue OPERF,ClearVue OPERF,2019,Private Equity,,1,Oregon,100.00,0.0270,1.1300
ClearVue Partners III,ClearVue,2019,Private Equity,,1,Oregon,150.00,0.0320,1.1700
Clearlake Capital Partners III,Clearlake,2012,Private Equity,Buyout,2,"CalPERS,NY Common",105.00,0.4070,2.8741
Clearlake Capital Partners IV,Clearlake,2015,Private Equity,Buyout,2,"CalPERS,NY Common",230.70,0.2770,1.9928
Clearlake Capital Partners V,Clearlake,2018,Private Equity,Buyout,2,"CalPERS,NY Common",325.00,0.3430,2.0243
Clearlake Capital Partners VI,Clearlake,2020,Private Equity,Buyout,2,"Oregon,NY Common",510.00,0.1130,1.5730
Clearlake Capital Partners VII,Clearlake,2022,Private Equity,Buyout,3,"CalPERS,Oregon,NY Common",1000.00,0.0405,1.0994
Clearlake Capital Partners VIII,Clearlake,2023,Private Equity,Buyout,1,Oregon,250.00,,0.7200
Clearlake Newton Co-Investment,Clearlake,2025,Private Equity,Co-Investment,1,NY Common,150.00,,
Clearlake Opportunities Partners (P),Clearlake,2015,Private Equity,Opportunistic,1,CalPERS,56.70,0.0770,1.3004
Clearstone Venture Partners III-A,Clearstone,2004,Private Equity,Venture Capital,1,CalSTRS,35.00,0.0816,2.7896
Clearwater Capital Partners Fund III,Clearwater Capital Partners,2006,Private Equity,,2,"CalPERS,NY Common",250.00,0.0160,1.1070
Clearwater Capital Partners Fund IV,Clearwater Capital Partners,2012,Private Equity,,1,NY Common,150.00,,1.1519
Coalesce Capital Fund I,Coalesce,2024,Private Equity,,1,CalPERS,150.00,,0.8463
Coastal Pacific Partners,Coastal Pacific,2023,Private Equity,,1,CalPERS,136.25,,1.0711
Cobalt Investment Fund,Cobalt,2024,Private Equity,,1,CalPERS,100.00,,1.0000
"Code, Hennessy & Simmons II","Code, Hennessy & Simmons",1994,Private Equity,,1,WSIB,12.32,0.3259,3.5000
"Code, Hennessy & Simmons III","Code, Hennessy & Simmons",1997,Private Equity,,1,WSIB,30.00,0.0740,1.5000
"Code, Hennessy & Simmons IV","Code, Hennessy & Simmons",1999,Private Equity,,1,WSIB,125.00,0.1212,1.6000
Coefficient Capital Apex Fund I,Coefficient Capital Apex,2023,Private Equity,,1,CalPERS,83.73,,0.8474
Coefficient Capital Fund II,Coefficient,2024,Private Equity,,1,CalPERS,81.81,,0.8023
Coller International Partners IV,Coller International,2002,Private Equity,,1,Oregon,50.00,0.1150,1.3500
Coller International Partners VI,Coller International,2012,Private Equity,,2,"CalSTRS,Oregon",200.00,0.1372,1.5726
Coller International Partners VII,Coller International,2016,Private Equity,,1,CalSTRS,150.00,0.1254,1.6431
Contour Opportunity Fund,Contour Opportunity,2015,Private Equity,Opportunistic,1,NY Common,30.00,,5.5316
Contour Opportunity Fund II,Contour Opportunity,2019,Private Equity,Opportunistic,1,NY Common,40.00,,1.4110
Contour Opportunity Fund III,Contour Opportunity,2021,Private Equity,Opportunistic,1,NY Common,40.00,,0.9289
Contour Venture Partners II-A,Contour,2011,Private Equity,Venture Capital,1,NY Common,20.00,,4.9631
Contour Venture Partners III-A,Contour,2014,Private Equity,Venture Capital,1,NY Common,30.00,,1.9476
Contour Venture Partners IV-A,Contour,2018,Private Equity,Venture Capital,1,NY Common,40.00,,0.9168
Contour Venture Partners V-A,Contour,2023,Private Equity,Venture Capital,1,NY Common,40.00,,0.6221
Contrarian Capital Fund II,Contrarian,1997,Private Equity,,1,WSIB,40.00,0.0531,1.4000
Cornerstone Equity Partners IV,Cornerstone,1996,Private Equity,,1,WSIB,30.00,0.0858,1.6000
Cortec Group Fund V,Cortec Group,2011,Private Equity,,1,CalSTRS,60.00,0.3085,4.3482
Cortec Group Fund VI,Cortec Group,2015,Private Equity,,1,CalSTRS,100.00,0.1367,1.9906
Cortec Group Fund VII,Cortec Group,2019,Private Equity,,1,CalSTRS,100.00,0.1839,1.6827
Cortec Group Fund VIII,Cortec Group,2024,Private Equity,,1,CalSTRS,100.00,-0.0759,0.9250
Court Square Capital Partners II,Court Square,2006,Private Equity,,1,Oregon,100.00,0.1230,1.7900
Court Square Capital Partners III,Court Square,2012,Private Equity,,1,Oregon,75.00,0.1800,1.4800
Craton Equity Investors II,Craton Equity,2012,Private Equity,,1,CalSTRS,15.27,-0.1906,0.2600
Crescent Mezzanine Partners VI,Crescent Mezzanine,2012,Private Credit,Credit,1,Oregon,75.00,0.0410,1.1200
Crestview Partners IV,Crestview,2018,Private Equity,,1,NY Common,400.00,,1.2318
Crestview Partners V,Crestview,2023,Private Equity,,1,NY Common,400.00,,
Crosspoint Capital Fund II,Crosspoint,2023,Private Equity,,1,CalPERS,300.00,,1.1486
Cypress Merchant Banking Partners,Cypress Merchant Banking,1995,Private Equity,,1,WSIB,40.00,0.0265,1.2000
Cypress Merchant Banking Partners II,Cypress Merchant Banking,1999,Private Equity,,2,"WSIB,NY Common",300.00,-0.0136,0.9368
DCM IV,DCM,2004,Private Equity,,1,CalSTRS,15.00,0.1185,3.4075
DCPF VI Oil and Gas Coinvestment Fund,DCPF Oil and Gas Coinvestment,2013,Real Assets,Natural Resources,1,WSIB,100.00,0.1583,1.6000
DDJ Galileo Fund,DDJ Galileo,1995,Private Equity,,1,WSIB,20.71,-0.0726,0.8000
DFJ Gotham Fund II,DFJ Gotham,2009,Private Equity,,1,NY Common,50.00,,0.9387
DS Opportunities (C),DS,2021,Private Equity,Opportunistic,1,CalPERS,487.92,0.3171,1.7919
Denham Commodity Partners Fund VI,Denham,2012,Real Assets,Natural Resources,1,WSIB,200.00,-0.0264,0.9000
Diamond Castle Partners IV,Diamond Castle,2005,Private Equity,,1,Oregon,100.00,0.0060,1.0300
Doughty Hanson & Co Fund II,Doughty Hanson & Co,1996,Private Equity,,1,WSIB,16.52,0.4883,2.1000
Doughty Hanson & Co II,Doughty Hanson & Co,1995,Private Equity,,1,Oregon,50.00,0.4550,2.0200
Doughty Hanson & Co III,Doughty Hanson & Co,1997,Private Equity,,2,"WSIB,Oregon",350.00,0.1359,1.9100
Dyal Capital Partners III,Dyal,2015,Private Equity,,1,NY Common,570.00,,1.8896
Dyal III Third Avenue Co Investment Fund,Dyal Third Avenue Co,2016,Private Equity,Co-Investment,1,NY Common,190.00,,2.3306
ECI 10 A,ECI,2015,Private Equity,,1,CalSTRS,41.11,0.1942,2.2693
EIG Energy Fund XVI,EIG,2013,Private Equity,Energy,1,WSIB,200.00,0.0282,1.1000
EII-C SPV,EII-C SPV,2024,Private Equity,,1,CalPERS,95.00,,1.1304
EMAlternatives Investments,EMAlternatives Investments,2007,Private Equity,,1,CalPERS,100.00,0.0320,1.1778
EQT Fund IX SCSp,EQT,2020,Private Equity,Buyout,1,NY Common,648.38,,1.2237
EQT Fund VIII,EQT,2018,Private Equity,Buyout,1,NY Common,648.38,,1.8428
EQT IX (No.2) USD SCSp,EQT,2021,Private Equity,Buyout,1,CalPERS,655.50,0.0831,1.2592
EQT V (No. 2),EQT,2006,Private Equity,Buyout,1,NY Common,107.93,,1.3871
EQT VII,EQT,2015,Private Equity,Buyout,1,NY Common,432.25,,1.8321
EQT X (No.2) USD SCSp,EQT,2022,Private Equity,Buyout,1,CalPERS,500.00,0.0681,1.0555
"EQT X, SCSp",EQT,2022,Private Equity,Buyout,1,NY Common,432.25,,0.9675
Eagle Tree Partners VI,Eagle Tree,2023,Private Equity,,1,NY Common,250.00,,1.0511
EagleTree Excelsior Sidecar,EagleTree Excelsior Sidecar,2023,Private Equity,,1,NY Common,125.00,,1.3927
Easton Hunt New York,Easton Hunt New York,2003,Private Equity,,1,NY Common,30.00,,0.3479
Eighth Cinven Fund,Cinven,2023,Private Equity,Buyout,1,Oregon,231.00,,1.0600
Elevation Partners,Elevation,2005,Private Equity,,2,"WSIB,Oregon",200.00,0.1181,1.5850
Ember Infrastructure Fund II-B,Ember,2024,Real Assets,Infrastructure,1,CalPERS,100.00,,1.0262
Empire Co-Invest II,Empire,2023,Private Equity,Co-Investment,1,NY Common,200.00,,0.9655
EnCap Energy Capital Fund IX,EnCap,2013,Private Equity,Energy,1,CalSTRS,150.00,0.1087,1.6322
EnCap Energy Capital Fund VII,EnCap,2007,Private Equity,Energy,1,CalSTRS,250.00,0.1435,1.3627
EnCap Energy Capital Fund VIII,EnCap,2010,Private Equity,Energy,1,CalSTRS,200.00,0.0123,1.0795
EnCap Energy Capital Fund X,EnCap,2015,Private Equity,Energy,1,CalSTRS,200.00,0.1618,2.1649
EnCap Energy Capital Fund XI,EnCap,2017,Private Equity,Energy,1,CalSTRS,300.00,0.2132,1.9410
Encap Flatrock Midstream Fund III,EnCap Flatrock,2014,Private Equity,Energy,1,CalSTRS,60.00,0.0956,1.4341
Encap Flatrock Midstream Fund IV,EnCap Flatrock,2018,Private Equity,Energy,1,CalSTRS,91.00,0.0812,1.2756
Endeavour Capital Fund III,Endeavour Capital,2000,Private Equity,Buyout,1,Oregon,25.00,0.2960,2.7400
Endeavour Capital Fund IV,Endeavour Capital,2004,Private Equity,Buyout,2,"WSIB,Oregon",100.00,0.2694,3.4100
Endeavour Capital Fund V,Endeavour Capital,2008,Private Equity,Buyout,1,WSIB,65.00,0.1085,2.0000
